symbol,tf,year,n_trades,return_%,sharpe,max_dd_%,win_rate_%,profit_factor
BNBUSDT,H1,2020,352,-1.2,0.09,-21.4,23.9,1.15
BNBUSDT,H1,2021,381,78.3,2.09,-14.7,28.1,1.72
BNBUSDT,H1,2022,376,-30.8,-1.56,-33.6,22.6,0.86
BNBUSDT,H1,2023,439,-43.4,-2.1,-57.3,19.4,0.79
BNBUSDT,H1,2024,393,-4.1,-0.05,-18.4,25.4,1.17
BNBUSDT,H1,2025,414,-24.7,-1.05,-29.4,24.4,0.98
BNBUSDT,H1,2026,171,-13.8,-1.26,-20.7,28.1,0.94
BNBUSDT,H4,2020,76,6.4,0.57,-8.7,26.3,1.29
BNBUSDT,H4,2021,89,108.9,2.47,-21.3,23.6,4.96
BNBUSDT,H4,2022,76,-2.0,-0.11,-10.5,21.1,1.01
BNBUSDT,H4,2023,84,-8.6,-0.56,-23.4,22.6,0.6
BNBUSDT,H4,2024,87,22.8,1.38,-7.2,27.6,2.11
BNBUSDT,H4,2025,92,7.2,0.56,-11.4,23.9,1.3
BNBUSDT,H4,2026,37,-7.7,-1.34,-10.0,27.0,0.49
BNBUSDT,D1,2020,13,4.2,0.73,-3.2,23.1,1.88
BNBUSDT,D1,2021,6,6.9,1.25,-2.6,50.0,7.62
BNBUSDT,D1,2022,14,-4.1,-0.84,-5.4,14.3,0.15
BNBUSDT,D1,2023,10,4.3,0.78,-3.4,30.0,1.05
BNBUSDT,D1,2024,14,0.5,0.12,-3.8,35.7,1.34
BNBUSDT,D1,2025,8,10.9,1.21,-5.1,25.0,7.9
BTCUSDT,M15,2020,1587,-42.6,-1.15,-61.2,21.0,1.21
BTCUSDT,M15,2021,1506,-66.2,-2.41,-75.6,23.8,1.0
BTCUSDT,M15,2022,1637,-85.4,-5.21,-85.5,19.9,0.83
BTCUSDT,M15,2023,1727,-69.2,-3.51,-73.4,20.0,1.09
BTCUSDT,M15,2024,1601,-64.3,-2.79,-67.0,23.2,1.08
BTCUSDT,M15,2025,1536,-74.6,-4.7,-77.0,24.2,0.95
BTCUSDT,M15,2026,758,-67.9,-7.68,-68.6,20.2,0.69
BTCUSDT,H1,2020,352,67.4,1.9,-21.5,24.7,1.77
BTCUSDT,H1,2021,360,-2.6,-0.01,-18.7,25.3,1.11
BTCUSDT,H1,2022,369,-46.8,-2.62,-47.3,17.9,0.69
BTCUSDT,H1,2023,435,8.6,0.43,-38.7,18.9,1.41
BTCUSDT,H1,2024,375,18.3,0.77,-23.7,26.1,1.38
BTCUSDT,H1,2025,369,-35.4,-1.89,-37.6,23.6,0.86
BTCUSDT,H1,2026,180,-18.8,-1.97,-22.1,22.8,0.82
BTCUSDT,H4,2020,73,52.3,2.43,-11.5,31.5,2.92
BTCUSDT,H4,2021,83,3.2,0.34,-8.8,24.1,1.19
BTCUSDT,H4,2022,95,-17.8,-1.79,-17.9,22.1,0.45
BTCUSDT,H4,2023,77,31.6,1.8,-15.6,23.4,2.13
BTCUSDT,H4,2024,68,33.1,2.13,-8.5,36.8,2.79
BTCUSDT,H4,2025,84,-1.4,-0.04,-15.2,23.8,1.08
BTCUSDT,H4,2026,37,-2.8,-0.5,-7.4,27.0,0.86
BTCUSDT,D1,2020,11,31.4,2.69,-5.7,27.3,2.01
BTCUSDT,D1,2021,12,-1.7,-0.34,-3.9,25.0,0.73
BTCUSDT,D1,2022,12,-3.4,-1.53,-4.9,33.3,0.17
BTCUSDT,D1,2023,11,9.7,1.65,-3.0,27.3,1.68
BTCUSDT,D1,2024,10,4.2,0.8,-3.6,40.0,2.25
BTCUSDT,D1,2025,9,-0.8,-0.21,-4.9,33.3,0.84
ETHUSDT,H1,2020,367,114.7,2.49,-17.7,25.6,2.06
ETHUSDT,H1,2021,341,21.2,0.96,-19.8,28.4,1.3
ETHUSDT,H1,2022,350,-21.1,-0.88,-31.0,20.9,0.94
ETHUSDT,H1,2023,424,-20.7,-0.74,-46.9,18.6,1.07
ETHUSDT,H1,2024,382,-19.5,-0.7,-31.0,23.0,1.01
ETHUSDT,H1,2025,404,-15.5,-0.54,-30.1,22.5,1.05
ETHUSDT,H1,2026,177,-17.6,-1.57,-23.0,23.2,0.83
ETHUSDT,H4,2020,76,66.5,2.73,-8.3,31.6,3.44
ETHUSDT,H4,2021,83,7.3,0.6,-11.3,28.9,1.37
ETHUSDT,H4,2022,84,-4.6,-0.39,-9.7,25.0,0.91
ETHUSDT,H4,2023,101,-2.5,-0.12,-15.7,28.7,1.04
ETHUSDT,H4,2024,94,20.0,1.28,-11.6,25.5,1.82
ETHUSDT,H4,2025,103,-4.2,-0.28,-13.8,21.4,0.99
ETHUSDT,H4,2026,45,-9.6,-1.78,-11.9,20.0,0.42
ETHUSDT,D1,2020,13,14.1,1.57,-7.1,15.4,2.63
